[10:47:18.943] [[Server]] Log file created: server_log_20251008_104718.txt
[10:47:18.948] [[Server]] Initializing world generation...
[10:47:18.971] [[Server]] UDP listening on port 42070
[10:47:18.995] [[Server]] Listening on port 42069 @ 60 TPS
[10:47:18.995] [[Server]] Performance timing enabled - waiting for connections...
[10:47:19.017] [[Server]] Tick 0 | Cache: 0/20000
[10:58:49.067] [[Server]] Tick 41400 | Cache: 3/20000
[10:58:49.067]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:58:54.062] [[Server]] Tick 41700 | Cache: 3/20000
[10:58:54.062]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:58:54.078] [[Server]] Tick 41700 | Cache: 3/20000
[10:58:54.078]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:58:59.064] [[Server]] Tick 42000 | Cache: 3/20000
[10:58:59.064]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:04.071] [[Server]] Tick 42300 | Cache: 3/20000
[10:59:04.071]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:09.068] [[Server]] Tick 42600 | Cache: 3/20000
[10:59:09.068]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:14.072] [[Server]] Tick 42900 | Cache: 3/20000
[10:59:14.072]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:19.077] [[Server]] Tick 43200 | Cache: 3/20000
[10:59:19.077]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:24.065] [[Server]] Tick 43500 | Cache: 3/20000
[10:59:24.065]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:29.070] [[Server]] Tick 43800 | Cache: 3/20000
[10:59:29.070]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:34.068] [[Server]] Tick 44100 | Cache: 3/20000
[10:59:34.068]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:39.075] [[Server]] Tick 44400 | Cache: 3/20000
[10:59:39.075]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:44.072] [[Server]] Tick 44700 | Cache: 3/20000
[10:59:44.072]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:49.073] [[Server]] Tick 45000 | Cache: 3/20000
[10:59:49.073]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:54.079] [[Server]] Tick 45300 | Cache: 3/20000
[10:59:54.080]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:59:59.069] [[Server]] Tick 45600 | Cache: 3/20000
[10:59:59.069]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:04.075] [[Server]] Tick 45900 | Cache: 3/20000
[11:00:04.075]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:09.073] [[Server]] Tick 46200 | Cache: 3/20000
[11:00:09.074]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:14.071] [[Server]] Tick 46500 | Cache: 3/20000
[11:00:14.071]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:19.078] [[Server]] Tick 46800 | Cache: 3/20000
[11:00:19.078]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:24.076] [[Server]] Tick 47100 | Cache: 3/20000
[11:00:24.076]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:29.077] [[Server]] Tick 47400 | Cache: 3/20000
[11:00:29.077]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:34.073] [[Server]] Tick 47700 | Cache: 3/20000
[11:00:34.073]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:39.084] [[Server]] Tick 48000 | Cache: 3/20000
[11:00:39.084]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:44.082] [[Server]] Tick 48300 | Cache: 3/20000
[11:00:44.083]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:49.086] [[Server]] Tick 48600 | Cache: 3/20000
[11:00:49.086]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:54.079] [[Server]] Tick 48900 | Cache: 3/20000
[11:00:54.079]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:00:59.082] [[Server]] Tick 49200 | Cache: 3/20000
[11:00:59.082]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:04.078] [[Server]] Tick 49500 | Cache: 3/20000
[11:01:04.079]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:09.073] [[Server]] Tick 49800 | Cache: 3/20000
[11:01:09.073]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:14.078] [[Server]] Tick 50100 | Cache: 3/20000
[11:01:14.078]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:19.088] [[Server]] Tick 50400 | Cache: 3/20000
[11:01:19.088]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:24.084] [[Server]] Tick 50700 | Cache: 3/20000
[11:01:24.084]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:29.086] [[Server]] Tick 51000 | Cache: 3/20000
[11:01:29.086]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:34.089] [[Server]] Tick 51300 | Cache: 3/20000
[11:01:34.089]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:39.081] [[Server]] Tick 51600 | Cache: 3/20000
[11:01:39.081]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:44.077] [[Server]] Tick 51900 | Cache: 3/20000
[11:01:44.077]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:49.083] [[Server]] Tick 52200 | Cache: 3/20000
[11:01:49.083]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:54.081] [[Server]] Tick 52500 | Cache: 3/20000
[11:01:54.081]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:01:59.091] [[Server]] Tick 52800 | Cache: 3/20000
[11:01:59.092]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:04.084] [[Server]] Tick 53100 | Cache: 3/20000
[11:02:04.084]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:09.088] [[Server]] Tick 53400 | Cache: 3/20000
[11:02:09.089]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:14.085] [[Server]] Tick 53700 | Cache: 3/20000
[11:02:14.085]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:19.087] [[Server]] Tick 54000 | Cache: 3/20000
[11:02:19.087]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:24.087] [[Server]] Tick 54300 | Cache: 3/20000
[11:02:24.087]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:29.085] [[Server]] Tick 54600 | Cache: 3/20000
[11:02:29.085]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:34.080] [[Server]] Tick 54900 | Cache: 3/20000
[11:02:34.080]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:39.082] [[Server]] Tick 55200 | Cache: 3/20000
[11:02:39.082]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:44.080] [[Server]] Tick 55500 | Cache: 3/20000
[11:02:44.080]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:49.086] [[Server]] Tick 55800 | Cache: 3/20000
[11:02:49.086]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:54.088] [[Server]] Tick 56100 | Cache: 3/20000
[11:02:54.088]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:02:59.090] [[Server]] Tick 56400 | Cache: 3/20000
[11:02:59.090]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:04.095] [[Server]] Tick 56700 | Cache: 3/20000
[11:03:04.095]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:09.084] [[Server]] Tick 57000 | Cache: 3/20000
[11:03:09.084]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:14.081] [[Server]] Tick 57300 | Cache: 3/20000
[11:03:14.081]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:19.085] [[Server]] Tick 57600 | Cache: 3/20000
[11:03:19.085]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:24.095] [[Server]] Tick 57900 | Cache: 3/20000
[11:03:24.095]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:29.084] [[Server]] Tick 58200 | Cache: 3/20000
[11:03:29.084]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:34.087] [[Server]] Tick 58500 | Cache: 3/20000
[11:03:34.087]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:39.087] [[Server]] Tick 58800 | Cache: 3/20000
[11:03:39.088]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:44.099] [[Server]] Tick 59100 | Cache: 3/20000
[11:03:44.099]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:49.096] [[Server]] Tick 59400 | Cache: 3/20000
[11:03:49.096]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:54.088] [[Server]] Tick 59700 | Cache: 3/20000
[11:03:54.088]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:03:59.093] [[Server]] Tick 60000 | Cache: 3/20000
[11:03:59.094]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:04:04.089] [[Server]] Tick 60300 | Cache: 3/20000
[11:04:04.089]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:04:09.095] [[Server]] Tick 60600 | Cache: 3/20000
[11:04:09.095]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[11:04:14.088] [[Server]] Tick 60900 | Cache: 3/20000
[11:04:14.089]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
